Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_DESTROYED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,SURVIVED_ROUND,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-17 10:45:16,0.7064070701599121,10,17,19.59999999999969,16.968490789688076,5,12,12,57,0,0,0,2,10,6,132,0,10,206,66,37,173,0,0,34,12,183,74,238,108,34,23
2024-09-17 10:45:16,1.369560956954956,10,0,357.6599999999966,37.49715167703107,0,15,15,217,0,0,0,9,10,0,50,0,10,139,185,177,148,0,0,12,15,158,184,143,210,12,19
2024-09-17 10:45:16,1.9361059665679932,10,38,381.99999999999443,41.97902732156217,0,13,13,220,0,0,0,7,9,0,27,0,9,137,171,125,130,0,1,8,13,138,130,140,178,8,17
2024-09-17 10:45:16,2.768537998199463,10,49,671.3999999999845,73.17125161737204,1,18,18,349,0,0,0,13,8,2,40,0,8,237,204,225,187,0,2,19,18,192,234,246,218,19,21
2024-09-17 10:45:16,3.815582036972046,10,49,807.7199999999799,92.35567551478744,1,21,21,394,0,0,0,16,6,2,39,0,6,272,240,202,275,0,4,19,21,282,208,281,247,19,31
2024-09-17 10:45:16,4.374866247177124,10,9,468.2399999999922,55.53438563644886,0,13,13,252,0,0,0,10,8,1,16,0,8,167,153,123,136,0,2,13,13,139,124,172,158,13,15
2024-09-17 10:45:16,5.067495822906494,10,26,588.0599999999887,71.18951753526926,0,15,15,299,0,0,0,10,7,0,20,0,7,188,166,175,200,0,3,13,15,204,178,195,170,13,17
2024-09-17 10:45:16,5.952683925628662,10,49,730.4199999999815,92.71729326248169,1,24,24,367,0,0,0,18,7,3,42,0,7,238,202,218,244,0,3,18,24,255,223,257,207,18,26
2024-09-17 10:45:16,6.623921155929565,10,33,615.059999999986,71.05888200178742,0,15,15,313,0,0,0,12,7,1,23,0,7,191,171,158,184,0,3,17,15,188,163,196,179,17,16
2024-09-17 10:45:16,7.221498012542725,10,1,430.11999999999216,63.62849146127701,1,16,16,233,0,0,0,9,8,1,29,0,8,143,128,144,199,0,2,6,16,203,147,158,132,6,19
2024-09-17 10:45:16,8.059580087661743,10,47,680.7799999999835,90.88413700461388,0,16,16,352,0,0,0,10,8,1,18,0,8,252,211,208,222,0,2,12,16,229,211,256,215,12,16
2024-09-17 10:45:16,8.95863389968872,10,42,809.6399999999802,96.0118571035564,0,16,16,386,0,0,0,12,5,1,29,0,5,300,240,171,221,0,5,12,16,229,175,307,249,12,17
2024-09-17 10:45:16,9.864856958389282,10,34,697.5599999999823,95.46859687939286,0,17,17,361,0,0,0,13,8,1,42,0,8,231,227,211,237,0,2,13,17,241,216,240,247,13,21
2024-09-17 10:45:16,10.832434177398682,10,17,861.3199999999783,106.93951566144824,0,18,18,420,0,0,0,13,6,3,29,0,6,280,267,210,264,0,4,15,18,270,213,289,277,15,19
